ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;CODICESCUOLA;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SITOWEBSCUOLA;LONGITUDINE;LATITUDINE
201516;NORD EST;35134;G224;PDMM25500L;PDCT702006;CPIA DI PADOVA;CTP DI PADOVA (EX IC 3 BRIOSCO);Non Disponibile;PADOVA;CENTRO TERRITORIALE;NO;Non Disponibile;PDMM25500L@istruzione.it;Non Disponibile;VIA LIPPI, 11;PADOVA;VENETO;Non Disponibile; 1.18832257E7;4,54E+15
201516;NORD EST;35020;F011;PDIC85600N;PDEE85601Q;IST.COMPR. MASERA' - PERLASCA;MASERA'- GIUSEPPE MAZZINI;Non Disponibile;MASERA' DI PADOVA;SCUOLA PRIMARIA;NO;Non Disponibile;PDIC85600N@istruzione.it;Non Disponibile;VIALE DELLE OLIMPIADI, 34;PADOVA;VENETO;icsmasera.it; 1.1868313299999999E7;4,53E+23
201516;NORD EST;31050;F725;TVIC82600X;TVMM826022;IC QUINTO DI TREVISO;SMS CRESPANIMORGANO (IC Q);Non Disponibile;MORGANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TVIC82600X@istruzione.it;Non Disponibile;VIA A. DE LAZZARI, 2;TREVISO;VENETO;www.icquintotv.gov.it; 1.2084136799999999E7;4,56E+15
201516;NORD EST;31033;C111;TVIC816009;TVEE81601B;IC CASTELFRANCO V.TO 2;OSPEDALE ULSS 8;C/O IST. OSPEDALIERO;CASTELFRANCO VENETO;SCUOLA PRIMARIA;NO;Non Disponibile;TVIC816009@istruzione.it;Non Disponibile;VIA OSPEDALE 18;TREVISO;VENETO;www.comprensivosarto.it; 1.1927452799999999E7;4,57E+23
201516;NORD EST;35010;L979;PDIC861005;PDEE86104A;DI BORGORICCO;VILLANOVA DI CAMPOSAMPIERO;Non Disponibile;VILLANOVA DI CAMPOSAMPIERO;SCUOLA PRIMARIA;NO;Non Disponibile;PDIC861005@istruzione.it;Non Disponibile;VIA GIOVANNI XXIII,;PADOVA;VENETO;http://icborgoricco.net; 1.1961932899999999E7;4,54E+23
201516;NORD EST;32014;B662;BLIC823004;BLMM823015;IC PONTE NELLE ALPI;SANDRO PERTINI;Non Disponibile;PONTE NELLE ALPI;SCUOLA PRIMO GRADO;NO;Non Disponibile;BLIC823004@istruzione.it;Non Disponibile;VIA CANEVOI, 41;BELLUNO;VENETO;WWW.ICPONTALPI.ORG; 1.229838E7;4,62E+13
201516;NORD EST;33018;L057;UDIC84000E;UDAA84001B;GIOVANNI XXIII - TARVISIO;COSTANTINO COLOGNA TARVISIO;Non Disponibile;TARVISIO;SCUOLA INFANZIA;NO;Non Disponibile;UDIC84000E@istruzione.it;Non Disponibile;VIA VITTORIO VENETO;UDINE;FRIULI-VENEZIA G.;WWWTARVISIOSCUOLE.IT; 1.3579520299999999E7;4,65E+23
201516;NORD EST;31100;L407;TVIS019001;TVTF01901D;IS PALLADIO;I.T.I.S.PALLADIO;Non Disponibile;TREVISO;ISTITUTO TECNICO INDUSTRIALE;NO;Non Disponibile;TVIS019001@istruzione.it;Non Disponibile;VIA A.TRONCONI;TREVISO;VENETO;www.palladio-tv.it; 1.2221687299999999E7;4,57E+23
201516;NORD EST;35013;C743;PDIC896004;PDAA896033;CITTADELLA;CA' NAVE;Non Disponibile;CITTADELLA;SCUOLA INFANZIA;NO;Non Disponibile;PDIC896004@istruzione.it;Non Disponibile;VIA MAZZINI, 25;PADOVA;VENETO;www.iccittadella.gov.it; 1.17853522E7;4,56E+15
201516;NORD EST;37022;D818;VRIC83200V;VRIC83200V;IC FUMANE - LORENZI B.;IC FUMANE - LORENZI B.;Non Disponibile;FUMANE;ISTITUTO COMPRENSIVO;SI;Non Disponibile;VRIC83200V@istruzione.it;vric83200v@pec.istruzione.it;VIA PIO BRUGNOLI ,  36;VERONA;VENETO;Non Disponibile; 1.0885528100000001E7;4,55E+15
201516;NORD EST;37050;E358;VRIC843009;VRMM84301A;IC OPPEANO;ISOLA RIZZA;Non Disponibile;ISOLA RIZZA;SCUOLA PRIMO GRADO;NO;Non Disponibile;VRIC843009@istruzione.it;Non Disponibile;VIA        G. MARCONI 209;VERONA;VENETO;www.icoppeano.gov.it; 1.12821142E7;4,52E+15
201516;NORD EST;37055;H540;VRIC816001;VREE816013;IC RONCO ALL'ADIGE;ALBARO;Non Disponibile;RONCO ALL'ADIGE;SCUOLA PRIMARIA;NO;Non Disponibile;VRIC816001@istruzione.it;Non Disponibile;VIA DELLA LIBERTA';VERONA;VENETO;www.ic-ronco.gov.it; 1.1188519299999999E7;4,54E+23
201516;NORD EST;45014;G926;ROIC80600D;ROEE80602L;PORTO VIRO;MORO ALDO - PORTO VIRO;Non Disponibile;PORTO VIRO;SCUOLA PRIMARIA;NO;Non Disponibile;ROIC80600D@istruzione.it;Non Disponibile;VIA NELLO FREGNAN, 15;ROVIGO;VENETO;www.icportoviro.it; 1.2221975799999999E7;4,50E+14
201516;SUD;74015;E986;TAIC86300G;TAIC86300G;I.C. AOSTA - MARTINA FRANCA;I.C. AOSTA - MARTINA FRANCA;Non Disponibile;MARTINA FRANCA;ISTITUTO COMPRENSIVO;SI;Non Disponibile;TAIC86300G@istruzione.it;taic86300g@pec.istruzione.it;P.ZZA VITTORIO VENETO, 6;TARANTO;PUGLIA;Non Disponibile; 1.77260007E7;4,03E+15
201516;NORD EST;35020;M300;PDIC853006;PDEE853029;DI DUE CARRARE;G.D'ANNUNZIO;Non Disponibile;DUE CARRARE;SCUOLA PRIMARIA;NO;Non Disponibile;PDIC853006@istruzione.it;Non Disponibile;VIA CENTRO;PADOVA;VENETO;www.icduecarrare.gov.it; 1.0243829399999999E7;4,39E+15
201516;NORD EST;35042;D442;PDIC89300L;PDAA89304L;ESTE - G.PASCOLI;I.ALESSI;Non Disponibile;ESTE;SCUOLA INFANZIA;NO;Non Disponibile;PDIC89300L@istruzione.it;Non Disponibile;VIA NEGRI, 7;PADOVA;VENETO;www.ic-este.it; 1.16577126E7;4,52E+15
201516;NORD EST;30141;L736;VEIC81400N;VEEE81402R;I.C. U. FOSCOLO MURANO-BURANO;MONS.LUIGI CERUTTI - MURANO;Non Disponibile;VENEZIA;SCUOLA PRIMARIA;NO;Non Disponibile;VEIC81400N@istruzione.it;Non Disponibile;CALLE CONVENTO 21;VENEZIA;VENETO;http://www.icmuranoburano.gov.it; 1.2356650499999998E7;4,55E+15
201516;NORD EST;30026;G914;VEIC859007;VEAA859025;I.C.PORTOGRUARO 2 D.BERTOLINI;CARLO COLLODI;Non Disponibile;PORTOGRUARO;SCUOLA INFANZIA;NO;Non Disponibile;VEIC859007@istruzione.it;Non Disponibile;VIA G. MERCALLI  2;VENEZIA;VENETO;www.icportogruaro2.it; 1.28435955E7;4,58E+15
201516;CENTRO;50122;D612;FIIC839003;FIEE839037;CENTRO STORICO - PESTALOZZI;VITTORIO VENETO;Non Disponibile;FIRENZE;SCUOLA PRIMARIA;NO;Non Disponibile;FIIC839003@istruzione.it;Non Disponibile;VIA SAN GIUSEPPE 9;FIRENZE;TOSCANA;www.centrostoricopestalozzi.it; 1.1263900500000002E7;4,38E+23
201516;NORD EST;36051;D136;VIIC821004;VIMM821015;IC CREAZZO  MANZONI;SMS MANZONI CREAZZO;Non Disponibile;CREAZZO;SCUOLA PRIMO GRADO;NO;Non Disponibile;VIIC821004@istruzione.it;Non Disponibile;VIA  MANZONI, 1;VICENZA;VENETO;icscreazzo.gov.it; 1.1476896E7;4,55E+13
201516;NORD EST;36031;D379;VIIC86000P;VIAA86003N;IC DUEVILLE RONCALLI;PASSO DI RIVA  - DUEVILLE;Non Disponibile;DUEVILLE;SCUOLA INFANZIA;NO;Non Disponibile;VIIC86000P@istruzione.it;Non Disponibile;VIA DE GASPERI;VICENZA;VENETO;ICRONCALLI.IT; 1.1570318E7;4,56E+23
201516;NORD EST;36012;A465;VIVC020002;VIVC020002;CONVITTO ANNESSO IIS ASIAGO;CONVITTO ANNESSO IIS ASIAGO;ANNESSO A ISTITUTO;ASIAGO;CONVITTO ANNESSO;NO;Non Disponibile;VIVC020002@istruzione.it;Non Disponibile;VIA MATTEOTTI 155;VICENZA;VENETO;www.itgcanova.it; 1.151243E7;4,59E+13
201516;NORD EST;30126;L736;VEIC840006;VEIC840006;I.C. FRANCA ONGARO;I.C. FRANCA ONGARO;Non Disponibile;VENEZIA;ISTITUTO COMPRENSIVO;SI;Non Disponibile;VEIC840006@istruzione.it;veic840006@pec.istruzione.it;VIA  SANDRO GALLO N. 34;VENEZIA;VENETO;Non Disponibile; 1.23670556E7;4,54E+23
201516;NORD EST;35016;G587;PDIC82800D;PDIC82800D;PIAZZOLA S. BRENTA L. BELLUDI;PIAZZOLA S. BRENTA L. BELLUDI;Non Disponibile;PIAZZOLA SUL BRENTA;ISTITUTO COMPRENSIVO;SI;Non Disponibile;PDIC82800D@istruzione.it;pdic82800d@pec.istruzione.it;VIA DEI CONTARINI, 44;PADOVA;VENETO;Non Disponibile; 1.1783182E7;4,55E+22
201516;NORD EST;35020;A161;PDIC895008;PDEE89503C;ALBIGNASEGO;FALCONE E BORSELLINO;Non Disponibile;ALBIGNASEGO;SCUOLA PRIMARIA;NO;Non Disponibile;PDIC895008@istruzione.it;Non Disponibile;VIA CARAVAGGIO 8;PADOVA;VENETO;www.icalbignasego.gov.it; 1.18612664E7;4,54E+23
201516;NORD EST;32030;A443;BLIC82000L;BLEE82003R;IC FONZASO;ARSIE';Non Disponibile;ARSIE';SCUOLA PRIMARIA;NO;Non Disponibile;BLIC82000L@istruzione.it;Non Disponibile;P.ZZA MARCONI, 1;BELLUNO;VENETO;www.istitutocomprensivofonzaso.it; 1.1757954E7;4,60E+14
201516;NORD EST;31050;L706;TVIC820001;TVMM820012;IC VEDELAGO;SMS DON BOSCO VEDELAGO;Non Disponibile;VEDELAGO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TVIC820001@istruzione.it;Non Disponibile;VIA        ALESSANDRO MANZONI  8;TREVISO;VENETO;www.icvedelago.gov.it; 1.2086718299999999E7;4,56E+15
201516;NORD EST;31044;F443;TVIC87900C;TVEE87901E;IC MONTEBELLUNA 2;A. SERENA;Non Disponibile;MONTEBELLUNA;SCUOLA PRIMARIA;NO;Non Disponibile;TVIC87900C@istruzione.it;Non Disponibile;VIA CROCIERA, 1;TREVISO;VENETO;www.icmontebelluna2.gov.it; 1.20716025E7;4,58E+23
201516;NORD EST;36062;C949;VIIC84400R;VIMM84402V;IC LUSIANA  POZZA;DON ITALO GIRARDI;Non Disponibile;CONCO;SCUOLA PRIMO GRADO;NO;Non Disponibile;VIIC84400R@istruzione.it;Non Disponibile;VIA  M.POLI,  2;VICENZA;VENETO;www.iclusiana.gov.it; 1.1631692E7;4,58E+15
201516;NORD EST;36071;A459;VIMM141007;VICT70200G;CPIA DI VICENZA;CTP DI ARZIGNANO (EX IC 2);Non Disponibile;ARZIGNANO;CENTRO TERRITORIALE;NO;Non Disponibile;VIMM141007@istruzione.it;Non Disponibile;VIA 4 MARTIRI,71;VICENZA;VENETO;Non Disponibile; 1.13407099E7;4,55E+23
201516;NORD EST;36078;L551;VIIC88000X;VIEE880023;IC 2  VALDAGNO;VALDAGNO  - PONTE DEI NORI;Non Disponibile;VALDAGNO;SCUOLA PRIMARIA;NO;Non Disponibile;VIIC88000X@istruzione.it;Non Disponibile;VIA GRANEZZA 2;VICENZA;VENETO;www.icvaldagno2.it; 1.130623E7;4,56E+22
201516;NORD EST;31047;G846;TVIC861007;TVMM861018;IC PONTE DI PIAVE;SMSNIEVOPONTE DI PIAVE (I.C.);Non Disponibile;PONTE DI PIAVE;SCUOLA PRIMO GRADO;NO;Non Disponibile;TVIC861007@istruzione.it;Non Disponibile;VIA NICOLO' TOMMASEO, 4;TREVISO;VENETO;www.pontepiavescuole.it; 1.24632901E7;4,57E+15
201516;NORD EST;35139;G224;PDIC87900A;PDMM87901B;I IC DI PADOVA PETRARCA;PETRARCA - I I.C.;Non Disponibile;PADOVA;SCUOLA PRIMO GRADO;NO;Non Disponibile;PDIC87900A@istruzione.it;Non Disponibile;VIA CONCARIOLA,9;PADOVA;VENETO;www.primoistitutocomprensivopetrarca.it; 1.186871E7;4,54E+13
201516;NORD EST;35010;E145;PDIC84300G;PDIC84300G;ISTITUTO COMPRENS.  GRANTORTO;ISTITUTO COMPRENS.  GRANTORTO;Non Disponibile;GRANTORTO;ISTITUTO COMPRENSIVO;SI;Non Disponibile;PDIC84300G@istruzione.it;pdic84300g@pec.istruzione.it;VIA V.EMANUELE III,  32;PADOVA;VENETO;Non Disponibile; 1.1730979999999998E7;4,56E+22
201516;NORD EST;31040;I578;TVIC882008;TVEE88206G;IC VALDOBBIADENE;A. CANOVA;Non Disponibile;SEGUSINO;SCUOLA PRIMARIA;NO;Non Disponibile;TVIC882008@istruzione.it;Non Disponibile;VIA RIVA SECCA 1;TREVISO;VENETO;www.icvaldobbiadene.gov.it; 1.195286E7;4,59E+13
201516;NORD EST;31100;L407;TVIC870002;TVEE870036;IC TREVISO 1 A. MARTINI;BINDONI;Non Disponibile;TREVISO;SCUOLA PRIMARIA;NO;Non Disponibile;TVIC870002@istruzione.it;Non Disponibile;P. LE COSTITUZIONE;TREVISO;VENETO;www.ic1martini.it; 1.2230831900000002E7;4,57E+15
201516;NORD EST;31040;H706;TVIC85500X;TVMM855011;IC SALGAREDA;SMSMARTINISALGAREDA (I.C.);Non Disponibile;SALGAREDA;SCUOLA PRIMO GRADO;NO;Non Disponibile;TVIC85500X@istruzione.it;Non Disponibile;PIAZZALE CAMILLO CIBIN 8;TREVISO;VENETO;www.icsalgareda.gov.it; 1.2495000299999999E7;4,57E+22
201516;NORD EST;31048;H781;TVIC832007;TVEE832019;IC SAN BIAGIO DI CALLALTA;EUGENIO MONTALE;Non Disponibile;SAN BIAGIO DI CALLALTA;SCUOLA PRIMARIA;NO;Non Disponibile;TVIC832007@istruzione.it;Non Disponibile;VIA 2 GIUGNO, 47;TREVISO;VENETO;www.icsanbiagio.gov.it; 1.23814342E7;4,57E+23
201516;NORD EST;37142;L781;VRIC887003;VRMM887014;IC VR 16 VALPANTENA;VR N. 16  - A. CAPERLE;Non Disponibile;VERONA;SCUOLA PRIMO GRADO;NO;Non Disponibile;VRIC887003@istruzione.it;Non Disponibile;VIA LAMBRANZI 1;VERONA;VENETO;www.ic16verona.gov.it; 1.0991621499999998E7;4,54E+23
201516;CENTRO;56011;B390;PIIC81200T;PIEE812043;I.C. VICOPISANO  ILARIA ALPI;PRIMARIA V.VENETO DI CALCI;Non Disponibile;CALCI;SCUOLA PRIMARIA;NO;Non Disponibile;PIIC81200T@istruzione.it;Non Disponibile;VIA BROGIOTTI;PISA;TOSCANA;http://iscvicopisano.scuole.pisa.it/; 1.0519051299999999E7;4,37E+15
201516;NORD EST;37045;E512;VRIS003003;VRTD003019;I.S.I.S.S. M. MINGHETTI;ISISS M.MINGHETTI SETTORE ECONOMICO;Non Disponibile;LEGNAGO;IST TEC COMMERCIALE E PER GEOMETRI;NO;Non Disponibile;VRIS003003@istruzione.it;Non Disponibile;VIA        FRATTINI 45;VERONA;VENETO;www.minghettilegnago.it; 1.13118876E7;4,52E+15
201516;NORD EST;35020;M300;PDIC853006;PDMM853017;DI DUE CARRARE;DUE CARRARE A. MORO;Non Disponibile;DUE CARRARE;SCUOLA PRIMO GRADO;NO;Non Disponibile;PDIC853006@istruzione.it;Non Disponibile;VIA ROMA, 69;PADOVA;VENETO;www.icduecarrare.gov.it; 1.1868690799999999E7;4,54E+15
201516;NORD EST;31044;F443;TVIS018005;TVRA018026;IS SARTOR;IPSASR M.LLUNA(S.C.I.S.SARTOR);Non Disponibile;MONTEBELLUNA;IST PROF PER L'AGRICOLTURA E L'AMBIENTE;NO;Non Disponibile;TVIS018005@istruzione.it;Non Disponibile;VIA S.GAETANO N.156;TREVISO;VENETO;www.istitutoagrariosartor.it; 1.20498978E7;4,58E+15
201516;NORD EST;37056;H714;VRIC87100D;VREE87103N;IC SALIZZOLE;FRATELLI CORRA SALIZZOLE;Non Disponibile;SALIZZOLE;SCUOLA PRIMARIA;NO;Non Disponibile;VRIC87100D@istruzione.it;Non Disponibile;VIA CASTELLO, 15;VERONA;VENETO;www.icsalizzole.it; 1.08155973E7;4,56E+15
