ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;CODICESCUOLA;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SITOWEBSCUOLA; LONGITUDINE; LATITUDINE
201516;NORD EST;45036;D568;ROIC823007;ROEE823019;IC STIENTA;CARDUCCI GIOSUE' - FICAROLO;Non Disponibile;FICAROLO;SCUOLA PRIMARIA;NO;Non Disponibile;ROIC823007@istruzione.it;Non Disponibile;VIA CIRCONVALLAZIONE GIGLIOLI N. 71/A;ROVIGO;VENETO;www.icstienta.it;11.4352979;44.9556355
201516;NORD EST;30131;L736;VEEE01000C;VEEE01000C;MARCO FOSCARINI (ANN.CONVITTO);MARCO FOSCARINI (ANN.CONVITTO);CONVITTO NAZIONALE;VENEZIA;SCUOLA PRIMARIA;NO;Non Disponibile;VEEE01000C@istruzione.it;Non Disponibile;SESTIERE DI CANNAREGIO N. 4941;VENEZIA;VENETO;Non Disponibile;12.326393;45.4467816
201516;NORD EST;30020;G981;VEIC825004;VEMM825026;IPPOLITO NIEVO;MARCO POLO;Non Disponibile;PRAMAGGIORE;SCUOLA PRIMO GRADO;NO;Non Disponibile;VEIC825004@istruzione.it;Non Disponibile;VIA LEOPARDI 60;VENEZIA;VENETO;www.icnievocinto.gov.it;12.729047;45.815792
201516;NORD EST;37057;H924;VRIC8AC00D;VRMM8AC01E;IC 01  SAN GIOVANNI LUPATOTO;S.GIOV. LUPATOTO L. DA VINCI;Non Disponibile;SAN GIOVANNI LUPATOTO;SCUOLA PRIMO GRADO;NO;Non Disponibile;VRIC8AC00D@istruzione.it;Non Disponibile;VIA CA' DEI SORDI 16;VERONA;VENETO;IC1SGL.IT;11.040029;45.382561
201516;NORD EST;37036;I003;VRIC84000T;VREE840032;IC S.MARTINO B.A.;S.MARTINO B.A.SALVATORE TODARO;Non Disponibile;SAN MARTINO BUON ALBERGO;SCUOLA PRIMARIA;NO;Non Disponibile;VRIC84000T@istruzione.it;Non Disponibile;VIA SERENA;VERONA;VENETO;http://nuke.icsanmartinoscuole.it/;11.0839348;45.4118762
201516;NORD EST;36026;G776;VIIC814001;VIEE814046;IC A. PALLADIO - POIANA;SUOR OLGA GUGELMO -POJANA M.-;Non Disponibile;POIANA MAGGIORE;SCUOLA PRIMARIA;NO;Non Disponibile;VIIC814001@istruzione.it;Non Disponibile;VIA CALDUMARE;VICENZA;VENETO;icspojana.gov.it;11.5054215;45.2891487
201516;NORD EST;37017;E502;VRIC83400E;VRMM83402L;IC BARDOLINO;LAZISE - NAZARIO SAURO;Non Disponibile;LAZISE;SCUOLA PRIMO GRADO;NO;Non Disponibile;VRIC83400E@istruzione.it;Non Disponibile;LOC.  LA PEZZA;VERONA;VENETO;icbardolino.gov.it;10.9109751;45.5585665
201516;NORD EST;37022;D818;VRIC83200V;VRAA83201Q;IC FUMANE - LORENZI B.;TORRE INCANTATA - FUMANE;Non Disponibile;FUMANE;SCUOLA INFANZIA;NO;Non Disponibile;VRIC83200V@istruzione.it;Non Disponibile;VIA CASETTA  2;VERONA;VENETO;www.fumanescuola.it;10.8886046;45.542987
201516;NORD EST;36073;D020;VIIC82400G;VIAA82401C;IC CORNEDO CROSARA;IC CORNEDO - MUZZOLON;Non Disponibile;CORNEDO VICENTINO;SCUOLA INFANZIA;NO;Non Disponibile;VIIC82400G@istruzione.it;Non Disponibile;PIAZZA S. MARCO;VICENZA;VENETO;www.iccrosaracornedo.gov.it;11.3282692;45.6301552
201516;NORD EST;30174;L736;VEIC875005;VEIC875005;I.C.  L.SPALLANZANI;I.C.  L.SPALLANZANI;Non Disponibile;VENEZIA;ISTITUTO COMPRENSIVO;SI;Non Disponibile;VEIC875005@istruzione.it;VEIC875005@pec.istruzione.it;VIA CIMA D'ASTA 8;VENEZIA;VENETO;Non Disponibile;12.2648141;45.5061314
201516;NORD EST;30173;L736;VEIS018005;VETN018019; ANDREA GRITTI ;ANDREA GRITTI;Non Disponibile;VENEZIA;ISTITUTO TECNICO PER IL TURISMO;NO;Non Disponibile;VEIS018005@istruzione.it;Non Disponibile;VIA LUDOVICO ANTONIO MURATORI 7;VENEZIA;VENETO;www.istitutogritti.it;12.2685051;45.490335
201516;NORD EST;37124;L781;VRIC87500R;VRMM87501T;IC VR 02 SAVAL-PARONA;VR N.2 - PARONA;Non Disponibile;VERONA;SCUOLA PRIMO GRADO;NO;Non Disponibile;VRIC87500R@istruzione.it;Non Disponibile;LARGO STAZIONE VECCHIA18;VERONA;VENETO;www.comprensivovr02.gov.it;10.94647;45.47856
201516;NORD EST;37049;L912;VRIC84600R;VRIC84600R;IC VILLA BARTOLOMEA;IC VILLA BARTOLOMEA;Non Disponibile;VILLA BARTOLOMEA;ISTITUTO COMPRENSIVO;SI;Non Disponibile;VRIC84600R@istruzione.it;vric84600r@pec.istruzione.it;CORSO FRACCAROLI 58;VERONA;VENETO;Non Disponibile;11.3547035;45.1595345
201516;NORD EST;36100;L840;VIMM141007;VIMM706016;CPIA DI VICENZA;CASA CIRCONDARIALE C/O IC.BAROLINI;SPEC. PER CARCERARI;VICENZA;SCUOLA PRIMO GRADO;NO;Non Disponibile;VIMM141007@istruzione.it;Non Disponibile;VIA DALLA SCOLA   150;VICENZA;VENETO;www.ic4barolini.it;11.5765991;45.5508825
201516;NORD EST;36072;C605;VIIC87800X;VIEE878012;IC A.FAEDO  CHIAMPO;CD CHIAMPO  - CAP.;Non Disponibile;CHIAMPO;SCUOLA PRIMARIA;NO;Non Disponibile;VIIC87800X@istruzione.it;Non Disponibile;VIA T. DAL MOLIN N.42;VICENZA;VENETO;www.icchiampo.gov.it;11.279755;45.546897
201516;NORD EST;30010;B554;VEIC820001;VEIC820001;ANTONIO GRAMSCI;ANTONIO GRAMSCI;Non Disponibile;CAMPONOGARA;ISTITUTO COMPRENSIVO;SI;Non Disponibile;VEIC820001@istruzione.it;veic820001@pec.istruzione.it;VIA MATTEOTTI N. 51;VENEZIA;VENETO;Non Disponibile;12.0762197;45.3828696
201516;NORD EST;35134;G224;PDMM25500L;PDCT702006;CPIA DI PADOVA;CTP DI PADOVA (EX IC 3 BRIOSCO);Non Disponibile;PADOVA;CENTRO TERRITORIALE;NO;Non Disponibile;PDMM25500L@istruzione.it;Non Disponibile;VIA LIPPI 11;PADOVA;VENETO;Non Disponibile;11.8832257;45.4311684
201516;NORD EST;35020;F011;PDIC85600N;PDEE85601Q;IST.COMPR. MASERA' - PERLASCA;MASERA'- GIUSEPPE MAZZINI;Non Disponibile;MASERA' DI PADOVA;SCUOLA PRIMARIA;NO;Non Disponibile;PDIC85600N@istruzione.it;Non Disponibile;VIALE DELLE OLIMPIADI 34;PADOVA;VENETO;icsmasera.it;11.8683133;45.3164432
201516;NORD EST;31050;F725;TVIC82600X;TVMM826022;IC QUINTO DI TREVISO;SMS CRESPANIMORGANO (IC Q);Non Disponibile;MORGANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TVIC82600X@istruzione.it;Non Disponibile;VIA A. DE LAZZARI 2;TREVISO;VENETO;www.icquintotv.gov.it;12.0841368;45.6364211
201516;NORD EST;31033;C111;TVIC816009;TVEE81601B;IC CASTELFRANCO V.TO 2;OSPEDALE ULSS 8;C/O IST. OSPEDALIERO;CASTELFRANCO VENETO;SCUOLA PRIMARIA;NO;Non Disponibile;TVIC816009@istruzione.it;Non Disponibile;VIA OSPEDALE 18;TREVISO;VENETO;www.comprensivosarto.it;11.9274528;45.6776996
201516;NORD EST;35010;L979;PDIC861005;PDEE86104A;DI BORGORICCO;VILLANOVA DI CAMPOSAMPIERO;Non Disponibile;VILLANOVA DI CAMPOSAMPIERO;SCUOLA PRIMARIA;NO;Non Disponibile;PDIC861005@istruzione.it;Non Disponibile;VIA GIOVANNI XXIII;PADOVA;VENETO;http://icborgoricco.net;11.9619329;45.4361083
201516;NORD EST;32014;B662;BLIC823004;BLMM823015;IC PONTE NELLE ALPI;SANDRO PERTINI;Non Disponibile;PONTE NELLE ALPI;SCUOLA PRIMO GRADO;NO;Non Disponibile;BLIC823004@istruzione.it;Non Disponibile;VIA CANEVOI 41;BELLUNO;VENETO;WWW.ICPONTALPI.ORG;12.29838;46.17256
201516;NORD EST;31100;L407;TVIS019001;TVTF01901D;IS PALLADIO;I.T.I.S.PALLADIO;Non Disponibile;TREVISO;ISTITUTO TECNICO INDUSTRIALE;NO;Non Disponibile;TVIS019001@istruzione.it;Non Disponibile;VIA A.TRONCONI;TREVISO;VENETO;www.palladio-tv.it;12.2216873;45.6787447
201516;NORD EST;35013;C743;PDIC896004;PDAA896033;CITTADELLA;CA' NAVE;Non Disponibile;CITTADELLA;SCUOLA INFANZIA;NO;Non Disponibile;PDIC896004@istruzione.it;Non Disponibile;VIA MAZZINI 25;PADOVA;VENETO;www.iccittadella.gov.it;11.7853522;45.6387023
201516;NORD EST;37022;D818;VRIC83200V;VRIC83200V;IC FUMANE - LORENZI B.;IC FUMANE - LORENZI B.;Non Disponibile;FUMANE;ISTITUTO COMPRENSIVO;SI;Non Disponibile;VRIC83200V@istruzione.it;vric83200v@pec.istruzione.it;VIA PIO BRUGNOLI   36;VERONA;VENETO;Non Disponibile;10.8855281;45.5432099
201516;NORD EST;37050;E358;VRIC843009;VRMM84301A;IC OPPEANO;ISOLA RIZZA;Non Disponibile;ISOLA RIZZA;SCUOLA PRIMO GRADO;NO;Non Disponibile;VRIC843009@istruzione.it;Non Disponibile;VIA        G. MARCONI 209;VERONA;VENETO;www.icoppeano.gov.it;11.2821142;45.2176044
201516;NORD EST;37055;H540;VRIC816001;VREE816013;IC RONCO ALL'ADIGE;ALBARO;Non Disponibile;RONCO ALL'ADIGE;SCUOLA PRIMARIA;NO;Non Disponibile;VRIC816001@istruzione.it;Non Disponibile;VIA DELLA LIBERTA';VERONA;VENETO;www.ic-ronco.gov.it;11.1885193;45.3529891
201516;NORD EST;45014;G926;ROIC80600D;ROEE80602L;PORTO VIRO;MORO ALDO - PORTO VIRO;Non Disponibile;PORTO VIRO;SCUOLA PRIMARIA;NO;Non Disponibile;ROIC80600D@istruzione.it;Non Disponibile;VIA NELLO FREGNAN 15;ROVIGO;VENETO;www.icportoviro.it;12.2219758;45.025011
201516;NORD EST;35020;M300;PDIC853006;PDEE853029;DI DUE CARRARE;G.D'ANNUNZIO;Non Disponibile;DUE CARRARE;SCUOLA PRIMARIA;NO;Non Disponibile;PDIC853006@istruzione.it;Non Disponibile;VIA CENTRO;PADOVA;VENETO;www.icduecarrare.gov.it;11.824113500000067;45.3222049
201516;NORD EST;35042;D442;PDIC89300L;PDAA89304L;ESTE - G.PASCOLI;I.ALESSI;Non Disponibile;ESTE;SCUOLA INFANZIA;NO;Non Disponibile;PDIC89300L@istruzione.it;Non Disponibile;VIA NEGRI 7;PADOVA;VENETO;www.ic-este.it;11.6577126;45.2284182
201516;NORD EST;30141;L736;VEIC81400N;VEEE81402R;I.C. U. FOSCOLO MURANO-BURANO;MONS.LUIGI CERUTTI - MURANO;Non Disponibile;VENEZIA;SCUOLA PRIMARIA;NO;Non Disponibile;VEIC81400N@istruzione.it;Non Disponibile;CALLE CONVENTO 21;VENEZIA;VENETO;http://www.icmuranoburano.gov.it;12.3566505;45.4597002
201516;NORD EST;30026;G914;VEIC859007;VEAA859025;I.C.PORTOGRUARO 2 D.BERTOLINI;CARLO COLLODI;Non Disponibile;PORTOGRUARO;SCUOLA INFANZIA;NO;Non Disponibile;VEIC859007@istruzione.it;Non Disponibile;VIA G. MERCALLI  2;VENEZIA;VENETO;www.icportogruaro2.it;12.8435955;45.7759365
201516;NORD EST;36051;D136;VIIC821004;VIMM821015;IC CREAZZO  MANZONI;SMS MANZONI CREAZZO;Non Disponibile;CREAZZO;SCUOLA PRIMO GRADO;NO;Non Disponibile;VIIC821004@istruzione.it;Non Disponibile;VIA  MANZONI 1;VICENZA;VENETO;icscreazzo.gov.it;11.476896;45.53491
201516;NORD EST;36031;D379;VIIC86000P;VIAA86003N;IC DUEVILLE RONCALLI;PASSO DI RIVA  - DUEVILLE;Non Disponibile;DUEVILLE;SCUOLA INFANZIA;NO;Non Disponibile;VIIC86000P@istruzione.it;Non Disponibile;VIA DE GASPERI;VICENZA;VENETO;ICRONCALLI.IT;11.570318;45.6428174
201516;NORD EST;36012;A465;VIVC020002;VIVC020002;CONVITTO ANNESSO IIS ASIAGO;CONVITTO ANNESSO IIS ASIAGO;ANNESSO A ISTITUTO;ASIAGO;CONVITTO ANNESSO;NO;Non Disponibile;VIVC020002@istruzione.it;Non Disponibile;VIA MATTEOTTI 155;VICENZA;VENETO;www.itgcanova.it;11.51243;45.87106
201516;NORD EST;30126;L736;VEIC840006;VEIC840006;I.C. FRANCA ONGARO;I.C. FRANCA ONGARO;Non Disponibile;VENEZIA;ISTITUTO COMPRENSIVO;SI;Non Disponibile;VEIC840006@istruzione.it;veic840006@pec.istruzione.it;VIA  SANDRO GALLO N. 34;VENEZIA;VENETO;Non Disponibile;12.3670556;45.4131148
201516;NORD EST;35016;G587;PDIC82800D;PDIC82800D;PIAZZOLA S. BRENTA L. BELLUDI;PIAZZOLA S. BRENTA L. BELLUDI;Non Disponibile;PIAZZOLA SUL BRENTA;ISTITUTO COMPRENSIVO;SI;Non Disponibile;PDIC82800D@istruzione.it;pdic82800d@pec.istruzione.it;VIA DEI CONTARINI 44;PADOVA;VENETO;Non Disponibile;11.783182;45.541065
201516;NORD EST;35020;A161;PDIC895008;PDEE89503C;ALBIGNASEGO;FALCONE E BORSELLINO;Non Disponibile;ALBIGNASEGO;SCUOLA PRIMARIA;NO;Non Disponibile;PDIC895008@istruzione.it;Non Disponibile;VIA CARAVAGGIO 8;PADOVA;VENETO;www.icalbignasego.gov.it;11.8612664;45.3780282
201516;NORD EST;32030;A443;BLIC82000L;BLEE82003R;IC FONZASO;ARSIE';Non Disponibile;ARSIE';SCUOLA PRIMARIA;NO;Non Disponibile;BLIC82000L@istruzione.it;Non Disponibile;P.ZZA MARCONI 1;BELLUNO;VENETO;www.istitutocomprensivofonzaso.it;11.757954;45.983675
201516;NORD EST;31050;L706;TVIC820001;TVMM820012;IC VEDELAGO;SMS DON BOSCO VEDELAGO;Non Disponibile;VEDELAGO;SCUOLA PRIMO GRADO;NO;Non Disponibile;TVIC820001@istruzione.it;Non Disponibile;VIA        ALESSANDRO MANZONI  8;TREVISO;VENETO;www.icvedelago.gov.it;12.0867183;45.6339758
201516;NORD EST;31044;F443;TVIC87900C;TVEE87901E;IC MONTEBELLUNA 2;A. SERENA;Non Disponibile;MONTEBELLUNA;SCUOLA PRIMARIA;NO;Non Disponibile;TVIC87900C@istruzione.it;Non Disponibile;VIA CROCIERA 1;TREVISO;VENETO;www.icmontebelluna2.gov.it;12.0716025;45.7804367
201516;NORD EST;36062;C949;VIIC84400R;VIMM84402V;IC LUSIANA  POZZA;DON ITALO GIRARDI;Non Disponibile;CONCO;SCUOLA PRIMO GRADO;NO;Non Disponibile;VIIC84400R@istruzione.it;Non Disponibile;VIA  M.POLI  2;VICENZA;VENETO;www.iclusiana.gov.it;11.631692;45.7953803
201516;NORD EST;36071;A459;VIMM141007;VICT70200G;CPIA DI VICENZA;CTP DI ARZIGNANO (EX IC 2);Non Disponibile;ARZIGNANO;CENTRO TERRITORIALE;NO;Non Disponibile;VIMM141007@istruzione.it;Non Disponibile;VIA 4 MARTIRI71;VICENZA;VENETO;Non Disponibile;11.3407099;45.5189676
201516;NORD EST;36078;L551;VIIC88000X;VIEE880023;IC 2  VALDAGNO;VALDAGNO  - PONTE DEI NORI;Non Disponibile;VALDAGNO;SCUOLA PRIMARIA;NO;Non Disponibile;VIIC88000X@istruzione.it;Non Disponibile;VIA GRANEZZA 2;VICENZA;VENETO;www.icvaldagno2.it;11.30623;45.63387
201516;NORD EST;31047;G846;TVIC861007;TVMM861018;IC PONTE DI PIAVE;SMSNIEVOPONTE DI PIAVE (I.C.);Non Disponibile;PONTE DI PIAVE;SCUOLA PRIMO GRADO;NO;Non Disponibile;TVIC861007@istruzione.it;Non Disponibile;VIA NICOLO' TOMMASEO 4;TREVISO;VENETO;www.pontepiavescuole.it;12.4632901;45.7185248
201516;NORD EST;35139;G224;PDIC87900A;PDMM87901B;I IC DI PADOVA PETRARCA;PETRARCA - I I.C.;Non Disponibile;PADOVA;SCUOLA PRIMO GRADO;NO;Non Disponibile;PDIC87900A@istruzione.it;Non Disponibile;VIA CONCARIOLA9;PADOVA;VENETO;www.primoistitutocomprensivopetrarca.it;11.86871;45.40674
201516;NORD EST;35010;E145;PDIC84300G;PDIC84300G;ISTITUTO COMPRENS.  GRANTORTO;ISTITUTO COMPRENS.  GRANTORTO;Non Disponibile;GRANTORTO;ISTITUTO COMPRENSIVO;SI;Non Disponibile;PDIC84300G@istruzione.it;pdic84300g@pec.istruzione.it;VIA V.EMANUELE III  32;PADOVA;VENETO;Non Disponibile;11.73098;45.60049
201516;NORD EST;31040;I578;TVIC882008;TVEE88206G;IC VALDOBBIADENE;A. CANOVA;Non Disponibile;SEGUSINO;SCUOLA PRIMARIA;NO;Non Disponibile;TVIC882008@istruzione.it;Non Disponibile;VIA RIVA SECCA 1;TREVISO;VENETO;www.icvaldobbiadene.gov.it;11.95286;45.91879
201516;NORD EST;31100;L407;TVIC870002;TVEE870036;IC TREVISO 1 A. MARTINI;BINDONI;Non Disponibile;TREVISO;SCUOLA PRIMARIA;NO;Non Disponibile;TVIC870002@istruzione.it;Non Disponibile;P. LE COSTITUZIONE;TREVISO;VENETO;www.ic1martini.it;12.2308319;45.6933294
201516;NORD EST;31040;H706;TVIC85500X;TVMM855011;IC SALGAREDA;SMSMARTINISALGAREDA (I.C.);Non Disponibile;SALGAREDA;SCUOLA PRIMO GRADO;NO;Non Disponibile;TVIC85500X@istruzione.it;Non Disponibile;PIAZZALE CAMILLO CIBIN 8;TREVISO;VENETO;www.icsalgareda.gov.it;12.4950003;45.7053724
201516;NORD EST;31048;H781;TVIC832007;TVEE832019;IC SAN BIAGIO DI CALLALTA;EUGENIO MONTALE;Non Disponibile;SAN BIAGIO DI CALLALTA;SCUOLA PRIMARIA;NO;Non Disponibile;TVIC832007@istruzione.it;Non Disponibile;VIA 2 GIUGNO 47;TREVISO;VENETO;www.icsanbiagio.gov.it;12.3814342;45.6870333
201516;NORD EST;37045;E512;VRIS003003;VRTD003019;I.S.I.S.S. M. MINGHETTI;ISISS M.MINGHETTI SETTORE ECONOMICO;Non Disponibile;LEGNAGO;IST TEC COMMERCIALE E PER GEOMETRI;NO;Non Disponibile;VRIS003003@istruzione.it;Non Disponibile;VIA        FRATTINI 45;VERONA;VENETO;www.minghettilegnago.it;11.3118876;45.1908969
201516;NORD EST;35020;M300;PDIC853006;PDMM853017;DI DUE CARRARE;DUE CARRARE A. MORO;Non Disponibile;DUE CARRARE;SCUOLA PRIMO GRADO;NO;Non Disponibile;PDIC853006@istruzione.it;Non Disponibile;VIA ROMA 69;PADOVA;VENETO;www.icduecarrare.gov.it;11.8686908;45.3505844
201516;NORD EST;31044;F443;TVIS018005;TVRA018026;IS SARTOR;IPSASR M.LLUNA(S.C.I.S.SARTOR);Non Disponibile;MONTEBELLUNA;IST PROF PER L'AGRICOLTURA E L'AMBIENTE;NO;Non Disponibile;TVIS018005@istruzione.it;Non Disponibile;VIA S.GAETANO N.156;TREVISO;VENETO;www.istitutoagrariosartor.it;12.0498978;45.7530069
201516;NORD EST;37056;H714;VRIC87100D;VREE87103N;IC SALIZZOLE;FRATELLI CORRA SALIZZOLE;Non Disponibile;SALIZZOLE;SCUOLA PRIMARIA;NO;Non Disponibile;VRIC87100D@istruzione.it;Non Disponibile;VIA CASTELLO 15;VERONA;VENETO;www.icsalizzole.it;10.8155973;45.5753343
201516;NORD EST;37036;I003;VRIC84000T;VREE840021;IC S.MARTINO B.A.;S.MARTINO B.A.SALVO D'ACQUISTO;Non Disponibile;SAN MARTINO BUON ALBERGO;SCUOLA PRIMARIA;NO;Non Disponibile;VRIC84000T@istruzione.it;Non Disponibile;VIA L. EINAUDI;VERONA;VENETO;http://nuke.icsanmartinoscuole.it/;11.1051785;45.4251579
201516;NORD EST;36077;A231;VIIC82300Q;VIAA82302N;IC ALTAVILLA VICENTINA- MARCONI;IC ALTAVILLA VIC.NA - MUNARI;Non Disponibile;ALTAVILLA VICENTINA;SCUOLA INFANZIA;NO;Non Disponibile;VIIC82300Q@istruzione.it;Non Disponibile;VIA VICENZA;VICENZA;VENETO;WWW.SCUOLEALTAVILLA.IT;11.4820412;45.5158581
201516;NORD EST;30031;D325;VEIC867006;VEMM867017;I.C. DOLO;PADRE REGINALDO GIULIANI;Non Disponibile;DOLO;SCUOLA PRIMO GRADO;NO;Non Disponibile;VEIC867006@istruzione.it;Non Disponibile;VIA IV NOVEMBRE 2;VENEZIA;VENETO;www.istitutocomprensivodolo.gov.it;12.0769494;45.4275678
201516;NORD EST;32100;A757;BLTD020002;BLTD020002;ITC P. F. CALVI;ITC P. F. CALVI;Non Disponibile;BELLUNO;ISTITUTO TECNICO COMMERCIALE;SI;Non Disponibile;BLTD020002@istruzione.it;bltd020002@pec.istruzione.it;VIA CONCETTO MARCHESI 73;BELLUNO;VENETO;istitutocalvibelluno.it;12.193449;46.1382918
201516;NORD EST;35129;G224;PDIC883002;PDEE883025;VI IC DI PADOVA BRUNO CIARI;DAVILA-PD;Non Disponibile;PADOVA;SCUOLA PRIMARIA;NO;Non Disponibile;PDIC883002@istruzione.it;Non Disponibile;VIA L. CALABRESI 5;PADOVA;VENETO;www.6istitutocomprensivopadova.gov.it;11.9214388;45.4330677
201516;NORD EST;35035;F161;PDIC85200A;PDIC85200A;DI MESTRINO;DI MESTRINO;Non Disponibile;MESTRINO;ISTITUTO COMPRENSIVO;SI;Non Disponibile;PDIC85200A@istruzione.it;pdic85200a@pec.istruzione.it;VIA DE GASPERI 17;PADOVA;VENETO;Non Disponibile;11.75835;45.45421
201516;NORD EST;31015;C957;TVMM140004;TVCT703004;CPIA ALBERTO MANZI DI TREVISO;CTP DI CONEGLIANO (EX IC 1 GRAVA);Non Disponibile;CONEGLIANO;CENTRO TERRITORIALE;NO;Non Disponibile;TVMM140004@istruzione.it;Non Disponibile;VIA F.FILZI22;TREVISO;VENETO;Non Disponibile;12.3045912;45.8835436
201516;NORD EST;31040;E021;TVIC83700A;TVAA837017;IC GIAVERA DEL MONTELLO;SCUOLA INFANZIA;Non Disponibile;GIAVERA DEL MONTELLO;SCUOLA INFANZIA;NO;Non Disponibile;TVIC83700A@istruzione.it;Non Disponibile;PIAZZA DON MARCO DAL MOLIN 1;TREVISO;VENETO;www.icgiavera.it;12.1402997;45.8326743
201516;NORD EST;45030;C461;ROIC80000E;ROEE80001L;CASTELMASSA;PIAZZA MARCONI G. - CENESELLI;Non Disponibile;CENESELLI;SCUOLA PRIMARIA;NO;Non Disponibile;ROIC80000E@istruzione.it;Non Disponibile;PIAZZA MARCONI GUGLIELMO;ROVIGO;VENETO;www.comprensivocastelmassa.it;11.3697755;45.0132117
