CAPSCUOLA;CODICEISTITUTORIFERIMENTO;CODICESCUOLA;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDIRIZZOEMAILSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SITOWEBSCUOLA; LONGITUDINE; LATITUDINE
45036;ROIC823007;ROEE823019;IC STIENTA;CARDUCCI GIOSUE' - FICAROLO;FICAROLO;SCUOLA PRIMARIA;ROIC823007@istruzione.it;VIA CIRCONVALLAZIONE GIGLIOLI N. 71/A;ROVIGO;VENETO;www.icstienta.it;11.4352979;44.9556355
30131;VEEE01000C;VEEE01000C;MARCO FOSCARINI (ANN.CONVITTO);MARCO FOSCARINI (ANN.CONVITTO);VENEZIA;SCUOLA PRIMARIA;VEEE01000C@istruzione.it;SESTIERE DI CANNAREGIO N. 4941;VENEZIA;VENETO;Non Disponibile;12.326393;45.4467816
30020;VEIC825004;VEMM825026;IPPOLITO NIEVO;MARCO POLO;PRAMAGGIORE;SCUOLA PRIMO GRADO;VEIC825004@istruzione.it;VIA LEOPARDI 60;VENEZIA;VENETO;www.icnievocinto.gov.it;12.729047;45.815792
37057;VRIC8AC00D;VRMM8AC01E;IC 01  SAN GIOVANNI LUPATOTO;S.GIOV. LUPATOTO L. DA VINCI;SAN GIOVANNI LUPATOTO;SCUOLA PRIMO GRADO;VRIC8AC00D@istruzione.it;VIA CA' DEI SORDI 16;VERONA;VENETO;IC1SGL.IT;11.040029;45.382561
37036;VRIC84000T;VREE840032;IC S.MARTINO B.A.;S.MARTINO B.A.SALVATORE TODARO;SAN MARTINO BUON ALBERGO;SCUOLA PRIMARIA;VRIC84000T@istruzione.it;VIA SERENA;VERONA;VENETO;http://nuke.icsanmartinoscuole.it/;11.0839348;45.4118762
36026;VIIC814001;VIEE814046;IC A. PALLADIO - POIANA;SUOR OLGA GUGELMO -POJANA M.-;POIANA MAGGIORE;SCUOLA PRIMARIA;VIIC814001@istruzione.it;VIA CALDUMARE;VICENZA;VENETO;icspojana.gov.it;11.5054215;45.2891487
37017;VRIC83400E;VRMM83402L;IC BARDOLINO;LAZISE - NAZARIO SAURO;LAZISE;SCUOLA PRIMO GRADO;VRIC83400E@istruzione.it;LOC.  LA PEZZA;VERONA;VENETO;icbardolino.gov.it;10.9109751;45.5585665
37022;VRIC83200V;VRAA83201Q;IC FUMANE - LORENZI B.;TORRE INCANTATA - FUMANE;FUMANE;SCUOLA INFANZIA;VRIC83200V@istruzione.it;VIA CASETTA  2;VERONA;VENETO;www.fumanescuola.it;10.8886046;45.542987
36073;VIIC82400G;VIAA82401C;IC CORNEDO CROSARA;IC CORNEDO - MUZZOLON;CORNEDO VICENTINO;SCUOLA INFANZIA;VIIC82400G@istruzione.it;PIAZZA S. MARCO;VICENZA;VENETO;www.iccrosaracornedo.gov.it;11.3282692;45.6301552
30174;VEIC875005;VEIC875005;I.C.  L.SPALLANZANI;I.C.  L.SPALLANZANI;VENEZIA;ISTITUTO COMPRENSIVO;VEIC875005@istruzione.it;VIA CIMA D'ASTA 8;VENEZIA;VENETO;Non Disponibile;12.2648141;45.5061314
30173;VEIS018005;VETN018019; ANDREA GRITTI ;ANDREA GRITTI;VENEZIA;ISTITUTO TECNICO PER IL TURISMO;VEIS018005@istruzione.it;VIA LUDOVICO ANTONIO MURATORI 7;VENEZIA;VENETO;www.istitutogritti.it;12.2685051;45.490335
37124;VRIC87500R;VRMM87501T;IC VR 02 SAVAL-PARONA;VR N.2 - PARONA;VERONA;SCUOLA PRIMO GRADO;VRIC87500R@istruzione.it;LARGO STAZIONE VECCHIA18;VERONA;VENETO;www.comprensivovr02.gov.it;10.94647;45.47856
37049;VRIC84600R;VRIC84600R;IC VILLA BARTOLOMEA;IC VILLA BARTOLOMEA;VILLA BARTOLOMEA;ISTITUTO COMPRENSIVO;VRIC84600R@istruzione.it;CORSO FRACCAROLI 58;VERONA;VENETO;Non Disponibile;11.3547035;45.1595345
36100;VIMM141007;VIMM706016;CPIA DI VICENZA;CASA CIRCONDARIALE C/O IC.BAROLINI;VICENZA;SCUOLA PRIMO GRADO;VIMM141007@istruzione.it;VIA DALLA SCOLA   150;VICENZA;VENETO;www.ic4barolini.it;11.5765991;45.5508825
36072;VIIC87800X;VIEE878012;IC A.FAEDO  CHIAMPO;CD CHIAMPO  - CAP.;CHIAMPO;SCUOLA PRIMARIA;VIIC87800X@istruzione.it;VIA T. DAL MOLIN N.42;VICENZA;VENETO;www.icchiampo.gov.it;11.279755;45.546897
30010;VEIC820001;VEIC820001;ANTONIO GRAMSCI;ANTONIO GRAMSCI;CAMPONOGARA;ISTITUTO COMPRENSIVO;VEIC820001@istruzione.it;VIA MATTEOTTI N. 51;VENEZIA;VENETO;Non Disponibile;12.0762197;45.3828696
35134;PDMM25500L;PDCT702006;CPIA DI PADOVA;CTP DI PADOVA (EX IC 3 BRIOSCO);PADOVA;CENTRO TERRITORIALE;PDMM25500L@istruzione.it;VIA LIPPI 11;PADOVA;VENETO;Non Disponibile;11.8832257;45.4311684
35020;PDIC85600N;PDEE85601Q;IST.COMPR. MASERA' - PERLASCA;MASERA'- GIUSEPPE MAZZINI;MASERA' DI PADOVA;SCUOLA PRIMARIA;PDIC85600N@istruzione.it;VIALE DELLE OLIMPIADI 34;PADOVA;VENETO;icsmasera.it;11.8683133;45.3164432
31050;TVIC82600X;TVMM826022;IC QUINTO DI TREVISO;SMS CRESPANIMORGANO (IC Q);MORGANO;SCUOLA PRIMO GRADO;TVIC82600X@istruzione.it;VIA A. DE LAZZARI 2;TREVISO;VENETO;www.icquintotv.gov.it;12.0841368;45.6364211
31033;TVIC816009;TVEE81601B;IC CASTELFRANCO V.TO 2;OSPEDALE ULSS 8;CASTELFRANCO VENETO;SCUOLA PRIMARIA;TVIC816009@istruzione.it;VIA OSPEDALE 18;TREVISO;VENETO;www.comprensivosarto.it;11.9274528;45.6776996
35010;PDIC861005;PDEE86104A;DI BORGORICCO;VILLANOVA DI CAMPOSAMPIERO;VILLANOVA DI CAMPOSAMPIERO;SCUOLA PRIMARIA;PDIC861005@istruzione.it;VIA GIOVANNI XXIII;PADOVA;VENETO;http://icborgoricco.net;11.9619329;45.4361083
32014;BLIC823004;BLMM823015;IC PONTE NELLE ALPI;SANDRO PERTINI;PONTE NELLE ALPI;SCUOLA PRIMO GRADO;BLIC823004@istruzione.it;VIA CANEVOI 41;BELLUNO;VENETO;WWW.ICPONTALPI.ORG;12.29838;46.17256
31100;TVIS019001;TVTF01901D;IS PALLADIO;I.T.I.S.PALLADIO;TREVISO;ISTITUTO TECNICO INDUSTRIALE;TVIS019001@istruzione.it;VIA A.TRONCONI;TREVISO;VENETO;www.palladio-tv.it;12.2216873;45.6787447
35013;PDIC896004;PDAA896033;CITTADELLA;CA' NAVE;CITTADELLA;SCUOLA INFANZIA;PDIC896004@istruzione.it;VIA MAZZINI 25;PADOVA;VENETO;www.iccittadella.gov.it;11.7853522;45.6387023
37022;VRIC83200V;VRIC83200V;IC FUMANE - LORENZI B.;IC FUMANE - LORENZI B.;FUMANE;ISTITUTO COMPRENSIVO;VRIC83200V@istruzione.it;VIA PIO BRUGNOLI   36;VERONA;VENETO;Non Disponibile;10.8855281;45.5432099
37050;VRIC843009;VRMM84301A;IC OPPEANO;ISOLA RIZZA;ISOLA RIZZA;SCUOLA PRIMO GRADO;VRIC843009@istruzione.it;VIA        G. MARCONI 209;VERONA;VENETO;www.icoppeano.gov.it;11.2821142;45.2176044
37055;VRIC816001;VREE816013;IC RONCO ALL'ADIGE;ALBARO;RONCO ALL'ADIGE;SCUOLA PRIMARIA;VRIC816001@istruzione.it;VIA DELLA LIBERTA';VERONA;VENETO;www.ic-ronco.gov.it;11.1885193;45.3529891
45014;ROIC80600D;ROEE80602L;PORTO VIRO;MORO ALDO - PORTO VIRO;PORTO VIRO;SCUOLA PRIMARIA;ROIC80600D@istruzione.it;VIA NELLO FREGNAN 15;ROVIGO;VENETO;www.icportoviro.it;12.2219758;45.025011
35020;PDIC853006;PDEE853029;DI DUE CARRARE;G.D'ANNUNZIO;DUE CARRARE;SCUOLA PRIMARIA;PDIC853006@istruzione.it;VIA ROMA 71;PADOVA;VENETO;www.icduecarrare.gov.it;11.868611;45.350544
35042;PDIC89300L;PDAA89304L;ESTE - G.PASCOLI;I.ALESSI;ESTE;SCUOLA INFANZIA;PDIC89300L@istruzione.it;VIA NEGRI 7;PADOVA;VENETO;www.ic-este.it;11.6577126;45.2284182
30141;VEIC81400N;VEEE81402R;I.C. U. FOSCOLO MURANO-BURANO;MONS.LUIGI CERUTTI - MURANO;VENEZIA;SCUOLA PRIMARIA;VEIC81400N@istruzione.it;CALLE CONVENTO 21;VENEZIA;VENETO;http://www.icmuranoburano.gov.it;12.3566505;45.4597002
30026;VEIC859007;VEAA859025;I.C.PORTOGRUARO 2 D.BERTOLINI;CARLO COLLODI;PORTOGRUARO;SCUOLA INFANZIA;VEIC859007@istruzione.it;VIA G. MERCALLI  2;VENEZIA;VENETO;www.icportogruaro2.it;12.8435955;45.7759365
36051;VIIC821004;VIMM821015;IC CREAZZO  MANZONI;SMS MANZONI CREAZZO;CREAZZO;SCUOLA PRIMO GRADO;VIIC821004@istruzione.it;VIA  MANZONI 1;VICENZA;VENETO;icscreazzo.gov.it;11.476896;45.53491
36031;VIIC86000P;VIAA86003N;IC DUEVILLE RONCALLI;PASSO DI RIVA  - DUEVILLE;DUEVILLE;SCUOLA INFANZIA;VIIC86000P@istruzione.it;VIA DE GASPERI;VICENZA;VENETO;ICRONCALLI.IT;11.570318;45.6428174
36012;VIVC020002;VIVC020002;CONVITTO ANNESSO IIS ASIAGO;CONVITTO ANNESSO IIS ASIAGO;ASIAGO;CONVITTO ANNESSO;VIVC020002@istruzione.it;VIA MATTEOTTI 155;VICENZA;VENETO;www.itgcanova.it;11.51243;45.87106
30126;VEIC840006;VEIC840006;I.C. FRANCA ONGARO;I.C. FRANCA ONGARO;VENEZIA;ISTITUTO COMPRENSIVO;VEIC840006@istruzione.it;VIA  SANDRO GALLO N. 34;VENEZIA;VENETO;Non Disponibile;12.3670556;45.4131148
35016;PDIC82800D;PDIC82800D;PIAZZOLA S. BRENTA L. BELLUDI;PIAZZOLA S. BRENTA L. BELLUDI;PIAZZOLA SUL BRENTA;ISTITUTO COMPRENSIVO;PDIC82800D@istruzione.it;VIA DEI CONTARINI 44;PADOVA;VENETO;Non Disponibile;11.783182;45.541065
35020;PDIC895008;PDEE89503C;ALBIGNASEGO;FALCONE E BORSELLINO;ALBIGNASEGO;SCUOLA PRIMARIA;PDIC895008@istruzione.it;VIA CARAVAGGIO 8;PADOVA;VENETO;www.icalbignasego.gov.it;11.8612664;45.3780282
32030;BLIC82000L;BLEE82003R;IC FONZASO;ARSIE';ARSIE';SCUOLA PRIMARIA;BLIC82000L@istruzione.it;P.ZZA MARCONI 1;BELLUNO;VENETO;www.istitutocomprensivofonzaso.it;11.757954;45.983675
31050;TVIC820001;TVMM820012;IC VEDELAGO;SMS DON BOSCO VEDELAGO;VEDELAGO;SCUOLA PRIMO GRADO;TVIC820001@istruzione.it;VIA        ALESSANDRO MANZONI  8;TREVISO;VENETO;www.icvedelago.gov.it;12.0867183;45.6339758
31044;TVIC87900C;TVEE87901E;IC MONTEBELLUNA 2;A. SERENA;MONTEBELLUNA;SCUOLA PRIMARIA;TVIC87900C@istruzione.it;VIA CROCIERA 1;TREVISO;VENETO;www.icmontebelluna2.gov.it;12.0716025;45.7804367
36062;VIIC84400R;VIMM84402V;IC LUSIANA  POZZA;DON ITALO GIRARDI;CONCO;SCUOLA PRIMO GRADO;VIIC84400R@istruzione.it;VIA  M.POLI  2;VICENZA;VENETO;www.iclusiana.gov.it;11.631692;45.7953803
36071;VIMM141007;VICT70200G;CPIA DI VICENZA;CTP DI ARZIGNANO (EX IC 2);ARZIGNANO;CENTRO TERRITORIALE;VIMM141007@istruzione.it;VIA 4 MARTIRI71;VICENZA;VENETO;Non Disponibile;11.3407099;45.5189676
36078;VIIC88000X;VIEE880023;IC 2  VALDAGNO;VALDAGNO  - PONTE DEI NORI;VALDAGNO;SCUOLA PRIMARIA;VIIC88000X@istruzione.it;VIA GRANEZZA 2;VICENZA;VENETO;www.icvaldagno2.it;11.30623;45.63387
31047;TVIC861007;TVMM861018;IC PONTE DI PIAVE;SMSNIEVOPONTE DI PIAVE (I.C.);PONTE DI PIAVE;SCUOLA PRIMO GRADO;TVIC861007@istruzione.it;VIA NICOLO' TOMMASEO 4;TREVISO;VENETO;www.pontepiavescuole.it;12.4632901;45.7185248
35139;PDIC87900A;PDMM87901B;I IC DI PADOVA PETRARCA;PETRARCA - I I.C.;PADOVA;SCUOLA PRIMO GRADO;PDIC87900A@istruzione.it;VIA CONCARIOLA9;PADOVA;VENETO;www.primoistitutocomprensivopetrarca.it;11.86871;45.40674
35010;PDIC84300G;PDIC84300G;ISTITUTO COMPRENS.  GRANTORTO;ISTITUTO COMPRENS.  GRANTORTO;GRANTORTO;ISTITUTO COMPRENSIVO;PDIC84300G@istruzione.it;VIA V.EMANUELE III  32;PADOVA;VENETO;Non Disponibile;11.73098;45.60049
31040;TVIC882008;TVEE88206G;IC VALDOBBIADENE;A. CANOVA;SEGUSINO;SCUOLA PRIMARIA;TVIC882008@istruzione.it;VIA RIVA SECCA 1;TREVISO;VENETO;www.icvaldobbiadene.gov.it;11.95286;45.91879
31100;TVIC870002;TVEE870036;IC TREVISO 1 A. MARTINI;BINDONI;TREVISO;SCUOLA PRIMARIA;TVIC870002@istruzione.it;P. LE COSTITUZIONE;TREVISO;VENETO;www.ic1martini.it;12.2308319;45.6933294
31040;TVIC85500X;TVMM855011;IC SALGAREDA;SMSMARTINISALGAREDA (I.C.);SALGAREDA;SCUOLA PRIMO GRADO;TVIC85500X@istruzione.it;PIAZZALE CAMILLO CIBIN 8;TREVISO;VENETO;www.icsalgareda.gov.it;12.4950003;45.7053724
31048;TVIC832007;TVEE832019;IC SAN BIAGIO DI CALLALTA;EUGENIO MONTALE;SAN BIAGIO DI CALLALTA;SCUOLA PRIMARIA;TVIC832007@istruzione.it;VIA 2 GIUGNO 47;TREVISO;VENETO;www.icsanbiagio.gov.it;12.3814342;45.6870333
37045;VRIS003003;VRTD003019;I.S.I.S.S. M. MINGHETTI;ISISS M.MINGHETTI SETTORE ECONOMICO;LEGNAGO;IST TEC COMMERCIALE E PER GEOMETRI;VRIS003003@istruzione.it;VIA        FRATTINI 45;VERONA;VENETO;www.minghettilegnago.it;11.3118876;45.1908969
35020;PDIC853006;PDMM853017;DI DUE CARRARE;DUE CARRARE A. MORO;DUE CARRARE;SCUOLA PRIMO GRADO;PDIC853006@istruzione.it;VIA ROMA 69;PADOVA;VENETO;www.icduecarrare.gov.it;11.8686908;45.3505844
31044;TVIS018005;TVRA018026;IS SARTOR;IPSASR M.LLUNA(S.C.I.S.SARTOR);MONTEBELLUNA;IST PROF PER L'AGRICOLTURA E L'AMBIENTE;TVIS018005@istruzione.it;VIA S.GAETANO N.156;TREVISO;VENETO;www.istitutoagrariosartor.it;12.0498978;45.7530069
37056;VRIC87100D;VREE87103N;IC SALIZZOLE;FRATELLI CORRA SALIZZOLE;SALIZZOLE;SCUOLA PRIMARIA;VRIC87100D@istruzione.it;VIA CASTELLO 15;VERONA;VENETO;www.icsalizzole.it;10.8155973;45.5753343
37036;VRIC84000T;VREE840021;IC S.MARTINO B.A.;S.MARTINO B.A.SALVO D'ACQUISTO;SAN MARTINO BUON ALBERGO;SCUOLA PRIMARIA;VRIC84000T@istruzione.it;VIA L. EINAUDI;VERONA;VENETO;http://nuke.icsanmartinoscuole.it/;11.1051785;45.4251579
36077;VIIC82300Q;VIAA82302N;IC ALTAVILLA VICENTINA- MARCONI;IC ALTAVILLA VIC.NA - MUNARI;ALTAVILLA VICENTINA;SCUOLA INFANZIA;VIIC82300Q@istruzione.it;VIA VICENZA;VICENZA;VENETO;WWW.SCUOLEALTAVILLA.IT;11.4820412;45.5158581
30031;VEIC867006;VEMM867017;I.C. DOLO;PADRE REGINALDO GIULIANI;DOLO;SCUOLA PRIMO GRADO;VEIC867006@istruzione.it;VIA IV NOVEMBRE 2;VENEZIA;VENETO;www.istitutocomprensivodolo.gov.it;12.0769494;45.4275678
32100;BLTD020002;BLTD020002;ITC P. F. CALVI;ITC P. F. CALVI;BELLUNO;ISTITUTO TECNICO COMMERCIALE;BLTD020002@istruzione.it;VIA CONCETTO MARCHESI 73;BELLUNO;VENETO;istitutocalvibelluno.it;12.193449;46.1382918
35129;PDIC883002;PDEE883025;VI IC DI PADOVA BRUNO CIARI;DAVILA-PD;PADOVA;SCUOLA PRIMARIA;PDIC883002@istruzione.it;VIA L. CALABRESI 5;PADOVA;VENETO;www.6istitutocomprensivopadova.gov.it;11.9214388;45.4330677
35035;PDIC85200A;PDIC85200A;DI MESTRINO;DI MESTRINO;MESTRINO;ISTITUTO COMPRENSIVO;PDIC85200A@istruzione.it;VIA DE GASPERI 17;PADOVA;VENETO;Non Disponibile;11.75835;45.45421
31015;TVMM140004;TVCT703004;CPIA ALBERTO MANZI DI TREVISO;CTP DI CONEGLIANO (EX IC 1 GRAVA);CONEGLIANO;CENTRO TERRITORIALE;TVMM140004@istruzione.it;VIA F.FILZI22;TREVISO;VENETO;Non Disponibile;12.3045912;45.8835436
31040;TVIC83700A;TVAA837017;IC GIAVERA DEL MONTELLO;SCUOLA INFANZIA;GIAVERA DEL MONTELLO;SCUOLA INFANZIA;TVIC83700A@istruzione.it;PIAZZA DON MARCO DAL MOLIN 1;TREVISO;VENETO;www.icgiavera.it;12.1402997;45.8326743
45030;ROIC80000E;ROEE80001L;CASTELMASSA;PIAZZA MARCONI G. - CENESELLI;CENESELLI;SCUOLA PRIMARIA;ROIC80000E@istruzione.it;PIAZZA MARCONI GUGLIELMO;ROVIGO;VENETO;www.comprensivocastelmassa.it;11.3697755;45.0132117
32030;BLIC814009;BLEE81402C;IC  PEDAVENA F. BERTON;MARGHERITA RUSCONI SEREN D.G.;SEREN DEL GRAPPA;SCUOLA PRIMARIA;BLIC814009@istruzione.it;VIA G. MARCONI;BELLUNO;VENETO;www.comprensivopedavena.it;11.8110178;46.0140006
37139;VRRH02000X;VRRH020509;ANGELO BERTI;ANGELO BERTI SERALE;VERONA;IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE;VRRH02000X@istruzione.it;VIA AEROPORTO BERARDI 51;VERONA;VENETO;http://www.bertivr.it;10.9419111;45.4589286
32030;BLIC82000L;BLAA82001D;IC FONZASO;RIVAI-ARSIE';ARSIE';SCUOLA INFANZIA;BLIC82000L@istruzione.it;VIA ANGOA 81;BELLUNO;VENETO;www.istitutocomprensivofonzaso.it;11.764044;45.9953762
35020;PDIC89400C;PDEE89404N;NICOLO' TOMMASEO;SCUOLA PRIMARIA E.DE AMICIS;ARRE;SCUOLA PRIMARIA;PDIC89400C@istruzione.it;VIA ROMA 103;PADOVA;VENETO;www.ictommaseo.gov.it;11.9968419;45.2942366
36030;VIIC83800D;VIEE83805Q;IC SARCEDO T. VECELLIO;A. FABRIS - ZUGLIANO - CAP.;ZUGLIANO;SCUOLA PRIMARIA;VIIC83800D@istruzione.it;PIAZZA  MARCONI 26;VICENZA;VENETO;www.icvecellio.gov.it;11.4889183;45.6508203
32036;BLIC83200V;BLAA83204V;IC  SEDICO;SCUOLA MATERNA SEDICO-ROE;SEDICO;SCUOLA INFANZIA;BLIC83200V@istruzione.it;VIA SOMMAVILLA;BELLUNO;VENETO;www.istitutocomprensivosedico-sospirolo.gov.it;11.9143829;46.3557202
35142;PDIC889001;PDEE889013;XII IC DI PADOVA DON BOSCO;DON BOSCO - PADOVA;PADOVA;SCUOLA PRIMARIA;PDIC889001@istruzione.it;VIA BRESSANONE 23;PADOVA;VENETO;www.ics12padova.gov.it;11.85172;45.38068
35043;PDIS00700L;PDTA00701C;IIS KENNEDY-MONSELICE;ITA (S.A. KENNEDY)-MONSELICE;MONSELICE;ISTITUTO TECNICO AGRARIO;PDIS00700L@istruzione.it;VIA VO' DEI BUFFI 6;PADOVA;VENETO;www.iiskennedy.it;11.7438415;45.2318452
31045;TVIC88100C;TVEE88101E;IC MOTTA DI LIVENZA;ALEANDRO - MOTTA DI L.;MOTTA DI LIVENZA;SCUOLA PRIMARIA;TVIC88100C@istruzione.it;VIA MANZONI 2;TREVISO;VENETO;icmottadilivenza.gov.it;12.6047517;45.7745606
31020;TVIC847001;TVEE847035;IC SAN VENDEMIANO;ENRICO FERMI;SAN VENDEMIANO;SCUOLA PRIMARIA;TVIC847001@istruzione.it;VIA G. MARCONI;TREVISO;VENETO;www.icsanvendemiano.gov.it;12.2650648;45.7322838
35013;PDIC896004;PDEE896016;CITTADELLA;CITTADELLA-L.CORNARO PISCOPIA;CITTADELLA;SCUOLA PRIMARIA;PDIC896004@istruzione.it;VIA ANGELO GABRIELLI 32;PADOVA;VENETO;www.iccittadella.gov.it;11.7759486;45.641797
35020;PDIC87000X;PDEE870012;ISTITUTO COMPRENSIVO CODEVIGO;FALCONE-BORSELLINO CODEVIGO;CODEVIGO;SCUOLA PRIMARIA;PDIC87000X@istruzione.it;VIA CARRARESI 1;PADOVA;VENETO;www.istitutocomprensivodicodevigo.gov.it;12.0968373;45.2660284
31033;TVRI010005;TVRI01050E;IPSIA GALILEI CASTELFRANCO VENETO;IPSIAGALILEISERALE CASTELFRANCO;CASTELFRANCO VENETO;IST PROF INDUSTRIA E ARTIGIANATO;TVRI010005@istruzione.it;VIA AVENALE 6;TREVISO;VENETO;www.ipsia-galilei.gov.gov.it;11.9262739;45.6781836
31021;TVIC87700R;TVEE877042;IC MOGLIANO 2 M.MINERBI;M. POLO;MOGLIANO VENETO;SCUOLA PRIMARIA;TVIC87700R@istruzione.it;VIA DELLA CHIESA 13;TREVISO;VENETO;www.icminerbi.gov.it;12.26921;45.5795716
30020;VEIC81900R;VEEE819031;ANDREA  PALLADIO;S. GIORGIO DI LIVENZA;CAORLE;SCUOLA PRIMARIA;VEIC81900R@istruzione.it;PIAZZA LIBERTA' - N. 4;VENEZIA;VENETO;www.scuolacaorle.gov.it;12.7961838;45.6523217
36100;VIIC86100E;VIMM86101G;IC VICENZA 6 - F. MUTTONI;SMS F. MUTTONI  VICENZA;VICENZA;SCUOLA PRIMO GRADO;VIIC86100E@istruzione.it;VIA MASSARIA 62;VICENZA;VENETO;www.ic6muttoni.gov.it;11.56204;45.55489
37141;VRIC88800V;VRAA88802R;IC VR 17 MONTORIO;MIZZOLE - AGAZZI;VERONA;SCUOLA INFANZIA;VRIC88800V@istruzione.it;VIA NICOLINI 4;VERONA;VENETO;vric88800v@istruzione.it;11.0595115;45.4773125
45018;ROIC81300L;ROAA81301D;PORTO TOLLE;SCARPARI - LOC. CA' TIEPOLO;PORTO TOLLE;SCUOLA INFANZIA;ROIC81300L@istruzione.it;VIA BOITO 4;ROVIGO;VENETO;www.icportotolle.it;12.3309413;44.9490901
31100;TVIC87300D;TVEE87303N;IC TREVISO 4   STEFANINI;G. PRATI;TREVISO;SCUOLA PRIMARIA;TVIC87300D@istruzione.it;VIA DEI MILLE 7;TREVISO;VENETO;www.ic4stefanini.gov.it;12.2547847;45.6645979
45010;ROIC807009;ROMM80703C;ISTITUTO COMPRENSIVO VILLADOSE;GIOVANNI XXIII  -  VILLADOSE;VILLADOSE;SCUOLA PRIMO GRADO;ROIC807009@istruzione.it;VIA DELLA PACE 22;ROVIGO;VENETO;www.icvilladose.gov.it;11.8918881;45.0749808
36040;VIIC813005;VIAA813034;IC MUTTONI. SAREGO;IC SAREGO - MONT.FARA;SAREGO;SCUOLA INFANZIA;VIIC813005@istruzione.it;VIA ANDREA PALLADIO 3;VICENZA;VENETO;www.icmuttonisarego.gov.it;11.5134779;45.35953
36061;VIIC88800E;VIIC88800E;IC 1  BASSANO DEL GRAPPA;IC 1  BASSANO DEL GRAPPA;BASSANO DEL GRAPPA;ISTITUTO COMPRENSIVO;VIIC88800E@istruzione.it;PIAZZALE TRENTO  21;VICENZA;VENETO;Non Disponibile;11.7382;45.76563
30038;VEIC86000B;VEEE86003G;I.C. SPINEA 1;C.GOLDONI - TEMPO PIENO;SPINEA;SCUOLA PRIMARIA;VEIC86000B@istruzione.it;VIA BELLINI 23;VENEZIA;VENETO;www.istitutocomprensivospinea1.gov.it;12.16369;45.48836
